,destination,hotel_name,hotel_score,latitude,longitude,description,url
0,Le Mont-Saint-Michel ,Gîte proche du Mont Saint-Michel accès à pieds,"9,0",48.5983897,-1.503451,"Gîte proche du Mont Saint-Michel accès à piedsDoté d'un jardin, l'établissement est situé à Beauvoir, à 45 km du port de la Houle, à 48 km de la gare de Granville et à 49 km de la pointe du Grouin. Doté d'un parking privé gratuit, il se trouve à 5,8 km de l'abbaye du Mont-Saint-Michel et à 23 km du Scriptorial d'Avranches, musee des manuscrits. du Mont Saint-Michel.

Dotée d'une connexion Wi-Fi gratuite, cette maison de vacances de 2 chambres dispose d'une télévision à écran plat, d'un lave-linge et d'une cuisine avec lave-vaisselle et four. Les serviettes et le linge de lit sont fournis.

Vous séjournerez à 49 km du zoo de Champrepus et à 50 km du port de plaisance de Granville. L'aéroport de Rennes-Saint-Jacques, le plus proche, est à 85 km.",https://www.booking.com/hotel/fr/gite-proche-du-mont-saint-michel-acces-a-pieds.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCvtLrqAbAAgHSAiRhMDFmODY2Ny1hNzEzLTQwZmEtOThlZS1hYzAyYTczZTNiMjXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=87ad709f2b490438&srepoch=1696262464&from=searchresults
1,Saint-Malo ,Brit Hotel Le Surcouf,"7,7",48.65773512,-1.99437261,"Situé dans le paisible quartier de Courtoisville, à 150 mètres de la plage et à 5 minutes des thermes, le Brit Hotel propose des chambres charmantes avec connexion Wi-Fi gratuite.

Toutes les chambres avec salle de bains privative du Brit Hotel Le Surcouf sont non-fumeurs. Lumineuses et modernes, elles sont décorées dans des tons violet, beige et orange. Chaque étage arbore une gamme de couleurs différente.

Vous pourrez dégustez un délicieux petit-déjeuner continental à l'hôtel avant de partir à la découverte de Saint-Malo. Pour les sportifs, une école de surf est implantée à proximité.",https://www.booking.com/hotel/fr/le-surcouf.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALC0uuoBsACAdICJDJhYjdmNDQ2LTUwZWMtNDFhNS05YjkyLWIwOTJjZDAxNmIxZNgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ea8b70a18dfe02a8&srepoch=1696262468&from=searchresults
2,Bayeux ,Hôtel Le Bayeux,"7,8",49.27415914,-0.70450634,"Situé dans le centre historique de Bayeux, en Basse-Normandie, l'Hôtel Le Bayeux propose des hébergements dotés d'une salle de bains privative et d'une connexion Wi-Fi gratuite.

Les chambres sont équipées d'une télévision à écran plat, d'un téléphone et d'un bureau. Les chambres familiales peuvent accueillir 4 à 5 personnes.

L'Hôtel Le Bayeux sert tous les jours un petit-déjeuner buffet et comprend des distributeurs automatiques. Il fournit un service de blanchisserie, et des journaux internationaux sont chaque jour mis à votre disposition dans le hall. Un service de navette permettant de faire des excursions ou rejoindre l'aéroport est également disponible sur demande.

L'hôtel se trouve à 10 minutes à pied de la gare de Bayeux, à 350 mètres du Musée de la tapisserie et à 550 mètres de la cathédrale Notre-Dame. La ville de Bayeux est à 10 km des plages du débarquement.",https://www.booking.com/hotel/fr/le-bayeux.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iYXlldXhIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsjS66gGwAIB0gIkYmU2N2E5YzktOWNkYS00MTYxLWJiN2YtNDIzMjdlMzE0ZmVi2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b9f770a4e695001e&srepoch=1696262474&from_sustainable_property_sr=1&from=searchresults
3,Le Havre ,Student Factory Le Havre Les Docks,"8,8",49.488044,0.133123,"Doté d'un salon commun, le Student Factory Le Havre Les Docks est situé au Havre, à moins de 2,5 km du Volcan et de l'appartement témoin Perret.

Certains logements comprennent une kitchenette équipée de plaques de cuisson.

Une terrasse bien exposée est présente.

Vous séjournerez à 3 km de l'église Saint-Michel et à 3,2 km de l'église Saint-Joseph. L'aéroport le plus proche, celui du Havre-Octeville, est situé à 8 km.",https://www.booking.com/hotel/fr/student-factory-le-havre-les-docks.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gC0NLrqAbAAgHSAiRiZWE4Mzk4Ny0xYjQ1LTRiZDQtYTkwNS1iZDZjNmY3YzgwNTnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=85cd70a8a1b70201&srepoch=1696262481&from_sustainable_property_sr=1&from=searchresults
4,Rouen ,studi'home,"8,1",49.443658,1.090557,"Situé à moins de 600 mètres du centre de Rouen, le Studi'home dispose d'une connexion Wi-Fi gratuite ainsi que d'une cuisine avec un four, un micro-ondes et un grille-pain.

Vous pourrez jouer au billard sur place ou faire de la pub dans les environs.

Vous séjournerez à proximité de la cathédrale Notre-Dame, de la gare de Rouen Rive Droite et du musée des Beaux-Arts de Rouen. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 85 km.",https://www.booking.com/hotel/fr/studi-39-home.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gC19LrqAbAAgHSAiQxNWEyZDUxOS1jNmQwLTQ5ZjItYjAwNS04NGZjMjZkM2JiNTnYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=6e7b70ab998e0262&srepoch=1696262488&from=searchresults
5,Paris ,Hôtel Korner Etoile,"8,3",48.88531807,2.2933808,"Installé à 1,5 km du palais des congrès de Paris, l’Hôtel Korner Etoile comprend des hébergements insonorisés et climatisés avec une connexion Wi-Fi gratuite. Vous séjournerez à 15 minutes à pied du parc Monceau et à moins de 20 minutes de marche de l’Arc de Triomphe.

Revêtues de parquet et meublées avec simplicité, toutes les chambres incluent une télévision par câble à écran plat et une salle de bains privative avec une douche.

Chaque matin, l’Hôtel Korner Etoile sert un petit-déjeuner buffet dans la salle prévue à cet effet.
L’établissement propose gratuitement une connexion Wi-Fi dans l’ensemble de ses locaux et des boissons chaudes à l’arrivée. La réception est ouverte 24h/24.

Située à moins de 1 minute à pied, la station de métro Porte de Champerret assure un accès direct à l’opéra Garnier et au Marais.",https://www.booking.com/hotel/fr/le-villiers.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gC3dLrqAbAAgHSAiRmN2I3NTZjNC1jYjRiLTRjMTUtYTRkNC1iNDMwNzU4OWNlZTXYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=5e0a70aed69b00cf&srepoch=1696262495&from_sustainable_property_sr=1&from=searchresults
6,Amiens ,L'Hortillon D'Or - TVHD - Wifi,,49.8853896,2.3316841,"L'Hortillon D'Or - TVHD - Wifi is located in Amiens, 2 km from Amiens Train Station, 6.1 km from Zénith d'Amiens, and 3 km from The Floating gardens Park. This apartment is 7.1 km from University of Picardie Jules Verne and 8.1 km from Amiens Golf Club.

With free WiFi, this 1-bedroom apartment provides a flat-screen TV, a washing machine and a kitchen with an oven and microwave. Towels and bed linen are provided in the apartment.

Berny's Museum is 4.4 km from the apartment, while Tribunal de Grande Instance of Amiens is 3.2 km away. The nearest airport is Beauvais–Tillé Airport, 66 km from L'Hortillon D'Or - TVHD - Wifi.",https://www.booking.com/hotel/fr/hortillon-d-or-tvhd-wifi.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuTS66gGwAIB0gIkZjgxYWRiYzgtM2QwNy00ZWUwLTgxZGEtMTc0ODQyYzVmNDJm2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ab3070b216ab0255&srepoch=1696262502&from_sustainable_property_sr=1&from=searchresults
7,Lille ,ibis Styles Lille Centre Gare Beffroi,"7,8",50.63238245,3.06794286,"L’ibis Styles Lille Centre Gare Beffroi vous accueille dans le centre-ville de Lille, à 600 mètres des gares de Lille-Europe et de Lille-Flandres. Le centre des congrès Lille Grand Palais et le complexe Nouveau Siècle se trouvent à 1 km.

Toutes les chambres comprennent une télévision à écran plat, une connexion Wi-Fi gratuite et une salle d’eau privative.

Chaque matin, le petit-déjeuner vous sera servi. Vous pourrez vous détendre avec une boisson dans le bar sur place. Des événements d’entreprise peuvent être organisés dans les 3 salles de réunion modernes.

Le quartier commerçant et d’affaires Euralille se trouve à 10 minutes de marche. Vous rejoindrez le stade Pierre-Mauroy en 15 minutes de route.",https://www.booking.com/hotel/fr/ibis-styles-lille-centre-gare-beffroi.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9saWxsZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gC69LrqAbAAgHSAiRkZTJiMWUxNS0xYjAxLTQwMzItOGU4OS1iZTYyMTQ2OTVmZDjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=007b70b5eeaf01eb&srepoch=1696262508&from=searchresults
8,Strasbourg ,Hôtel Campanile Strasbourg Aéroport Lingolsheim,"7,1",48.56176222,7.69705474,"L’Hôtel Campanile Strasbourg Aéroport Lingolsheim est situé près du centre-ville et du Zénith de Strasbourg. Cet établissement propose des chambres climatisées dotées d'une télévision à écran plat et offrant un accès direct à l’extérieur.

Affichant une décoration moderne, toutes les chambres sont directement accessibles depuis l'extérieur. Elles sont équipées d'une connexion Wi-Fi gratuite et d'un plateau/bouilloire. Leur salle de bains privative est pourvue d’un sèche-cheveux.

Ouvert du lundi au vendredi, le restaurant sert une cuisine française traditionnelle dans l'élégante salle à manger. Vous pourrez aussi dîner sur la terrasse.

Lors de votre séjour, vous bénéficierez d’un parking privé gratuit. Enfin, la frontière allemande se trouve à 16 minutes de route du Campanile Hotel Strasbourg Aéroport.",https://www.booking.com/hotel/fr/htlrestlingolsheim.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuALy0uuoBsACAdICJDYzZTc0YTY3LWUwZTItNDllZi1iZTAwLThkMDFiNzk1MTk4M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b73470b9e53701bc&srepoch=1696262515&from_sustainable_property_sr=1&from=searchresults
9,Château du Haut-Kœnigsbourg ,Appartement des Sorcieres - Witches Apartment,"9,5",48.2567086,7.4508171,"L'Appartement des Sorcieres - Witches Apartment est situé à Sélestat, à 21 km du parc des expositions Colmar Expo, à 24 km de la Maison des Têtes et de la collégiale Saint-Martin. Il se trouve à 13 km du château du Haut Koenigsbourg et dispose d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux.

Cet appartement comprend 3 chambres, une salle de bains, du linge de lit, des serviettes, une télévision par câble à écran plat, un coin repas, une cuisine entièrement équipée et un balcon avec vue sur le jardin.

Le personnel de la réception pourra vous fournir des informations sur la région.

Vous séjournerez à 25 km de la gare de Colmar et à 27 km du musée Würth. L'aéroport international de Strasbourg, le plus proche, est à 39 km.",https://www.booking.com/hotel/fr/appartement-des-sorcieres-witches-apartment.fr.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAL60uuoBsACAdICJDUzMDE0MGY2LWIwYTYtNDdjNS04NDg3LTBmZjUwZjk0Y2NlMtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=486670bce42801f5&srepoch=1696262523&from=searchresults
10,Colmar ,Dépendance de charme - Tiny house,"9,4",48.0796438,7.3419715,"Offrant une vue sur son jardin, la Dépendance de charme est située à Colmar, à 1,6 km de la collégiale Saint-Martin et à 3,7 km du parc des expositions Colmar Expo. Doté d'un parking privé gratuit, il se trouve à 1,2 km de la Maison des Têtes et à 1,5 km de la gare de Colmar.

Doté d'une connexion Wi-Fi gratuite, cet appartement 1 chambre dispose d'une télévision à écran plat ainsi que d'une cuisine avec un micro-ondes et un réfrigérateur. Les serviettes et le linge de lit sont fournis.

Le château du Haut Koenigsbourg se trouve à 28 km, tandis que le parc des expositions de Mulhouse est à 43 km. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 57 km.",https://www.booking.com/hotel/fr/dependance-de-charme-colmar.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoHT66gGwAIB0gIkNjYwMDhhMzctNjIwYy00MWI0LTliMTYtMTk5MGZmNTk0NmEy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=768c70c0118e029c&srepoch=1696262530&from_sustainable_property_sr=1&from=searchresults
11,Eguisheim ,Gite St Léon à Eguisheim,"8,5",48.0428645,7.3061238,"Situé à Eguisheim, à 5,6 km de la gare de Colmar et à 6,5 km de la Maison des Têtes, Le Gite St Léon à Eguisheim propose des hébergements avec une connexion Wi-Fi gratuite et un restaurant. Offrant une vue sur la ville et la rue calme, il se trouve à 7 km de la collégiale Saint-Martin.

Cet appartement d'une chambre dispose d'un salon avec une télévision par satellite à écran plat, d'une cuisine entièrement équipée avec un lave-vaisselle et un four, ainsi que d'une salle de bains avec un sèche-cheveux. Les serviettes et le linge de lit sont fournis.

Un service de location de vélos est assuré sur place. La région est prisée pour pratiquer le vélo, la randonnée et la randonnée.

Vous séjournerez à 10 km du parc des expositions Colmar Expo et à 35 km du château du Haut Koenigsbourg. L'aéroport de Bâle-Mulhouse-Fribourg, le plus proche, est implanté à 54 km.",https://www.booking.com/hotel/fr/gite-st-leon.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9lZ3Vpc2hlaW1IDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4AofT66gGwAIB0gIkZDhhNmUyYjktNmRlZS00NTEwLTkzZGMtNDVkOWRmYmM1Nzg52AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=677170c3608e01b9&srepoch=1696262536&from=searchresults
12,Besançon ,"Le Carnot, à deux pas du centre ville","8,1",47.2434956,6.0301621,"Situé à Besançon, à 600 mètres de la gare de Besançon-Mouillère et à 1 km de la gare de Besançon-Viotte, l'établissement Le Carnot, à deux pas du centre ville propose une vue sur la cour intérieure et une connexion Wi-Fi gratuite.

Les hébergements disposent d'une télévision à écran plat, d'une salle de bains privative et d'une kitchenette entièrement équipée avec un four.

Vous pourrez profiter d'une terrasse.

Le Carnot, à deux pas du centre ville se trouve à proximité de sites d'intérêt tels que la cathédrale Saint-Jean de Besançon, le musée du Temps de Besançon et le musée des Beaux-Arts et d'Archéologie de Besançon. L'aéroport de Dole-Jura, le plus proche, est implanté à 63 km.",https://www.booking.com/hotel/fr/le-carnot-ndeg4-ensoleille-proche-du-centre-ville.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9iZXNhbmNvbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCjtPrqAbAAgHSAiRlNjViNDYxNC1kZDZiLTQ2NjgtYjhhZi1lMWNmNWRkZjIzZGTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=227a70c77d1901df&srepoch=1696262543&from=searchresults
13,Dijon ,SweetHome Dijon - Zola,"7,6",47.318556,5.036525,"Situé à Dijon, en Bourgogne, à proximité de l'église Saint-Philibert et de la gare, le SweetHome Dijon - Zola propose des hébergements avec connexion Wi-Fi et parking privé gratuits.

Revêtus de parquet, les logements comprennent un coin repas, une télévision par satellite à écran plat ainsi qu'une salle de bains privative pourvue d'une douche à l'italienne et d'un sèche-cheveux. Un grille-pain, un réfrigérateur, des plaques de cuisson, une machine à café et une bouilloire sont également fournis.

Vous séjournerez à 1 km de la station de tramway Foch-Gare et à 2 km du parc des expositions Dijon Congrexpo. L'aéroport de Dole-Jura, le plus proche, est implanté à 50 km.",https://www.booking.com/hotel/fr/sweethome-dijon-zola.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gClNPrqAbAAgHSAiQ1ZTU0YWZhNy1iYjYzLTRmYjMtYWUzOS01YmY3OGVmZWExN2PYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=1d2670cab420032b&srepoch=1696262549&from_sustainable_property_sr=1&from=searchresults
14,Annecy ,Premiere Classe Annecy Cran-Gevrier,"6,0",45.8954308,6.1098462,"Doté d’un jardin, le Premiere Classe Annecy Sud vous accueille à Annecy. Pourvu d’une connexion Wi-Fi gratuite, cet hôtel 1 étoile se trouve à 15 minutes à pied du château d'Annecy.

Toutes les chambres disposent d’une télévision par câble à écran plat, d’un bureau et d’une salle de bains privative munie d’un sèche-cheveux.

Un petit-déjeuner continental vous sera servi chaque matin.

Le lac d’Annecy et le centre-ville avec ses boutiques, ses restaurants et son marché vous attendent à moins de 3 km de l’hôtel. Enfin, l’aéroport de Chambéry-Savoie est implanté à 47 km.",https://www.booking.com/hotel/fr/premiere-classe-annecy-cran-gevrier.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbm5lY3lIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApjT66gGwAIB0gIkNTRmODdmMzgtYTA2Ny00M2JiLTkwZmMtY2I4YTMwYTU0ZTIx2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ff4c70cc20c40266&srepoch=1696262553&from_sustainable_property_sr=1&from=searchresults
15,Grenoble ,ibis Grenoble Centre Bastille,"7,2",45.19052518,5.72641228,"Situé dans le centre-ville de Grenoble, l'ibis Grenoble Centre Bastille propose une réception ouverte 24h/24 et un bar. Vous bénéficierez gratuitement d'une connexion Wi-Fi disponible dans l'ensemble de l'établissement. L'arrêt de tramway Victor Hugo se trouve juste devant l'hôtel et le téléphérique de la Bastille à 500 mètres.

Les chambres climatisées possèdent une télévision par câble à écran plat, une armoire, un bureau et un téléphone. Leur salle de bains privative est pourvue d'un sèche-cheveux et d'articles de toilette gracieusement à votre disposition.

Un petit-déjeuner buffet, composé d'aliments sucrés et salés parmi lesquels des œufs, de la salade de fruits, des yaourts et des jus de fruits, est servi chaque matin. Des viennoiseries préparées sur place et des madeleines fraîches sont disponibles, ainsi qu'une boisson chaude et un fruit à emporter. Un petit-déjeuner plus léger est disponible à partir de 4h00.

L'hôtel propose un parking privé sur place, une bagagerie, la presse quotidienne et un ascenseur. La place Victor Hugo se trouve à 100 mètres.",https://www.booking.com/hotel/fr/ibis-grenoble-centre.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBA4gCAagCA7gCn9PrqAbAAgHSAiQ1ODY3Y2NkZC1lZDJhLTQwYjItODJjMi1iMmY1MTU2N2QxZGLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=8f7d70cf241e0012&srepoch=1696262561&from_sustainable_property_sr=1&from=searchresults
16,Lyon ,Hotel ParkSaône,"8,6",45.79229162,4.81869468,"L'Hotel ParkSaône se situe sur la rive de la Saône à Lyon. Vous pourrez profiter d'un restaurant sur place, d'un bar et d'une terrasse. Vous profiterez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.

Les chambres climatisées disposent d'un plateau de boissons chaudes et d'une télévision à écran plat avec les chaînes Canal+ et beIN Sports. Elles sont dotées d'une salle de bains privative pourvue d'un sèche-cheveux et d'articles de toilette gratuits.

La réception de l'établissement est ouverte 24h/24.

Le centre de conventions vous attend à 2,7 km. L'aéroport de Lyon-Saint Exupéry, le plus proche, est installé à 22 km.",https://www.booking.com/hotel/fr/parksaone.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKn0-uoBsACAdICJDk5Y2VmNjlkLWZlMGItNDM0ZS05ZWFmLWY3MDBmMTIwN2M1ONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=57d670d309eb01e4&srepoch=1696262568&from_sustainable_property_sr=1&from=searchresults
17,Lyon ,Hôtel Maison Lacassagne Lyon,"8,9",45.74439127,4.89254236,"Idéalement situé dans le 3ème arrondissement de Lyon, l’Hôtel Maison Lacassagne Lyon vous accueille à 6,5 km du musée Miniature et Cinéma, à 7 km du musée des Beaux-Arts de Lyon et à 7,7 km de la gare de Lyon Perrache. Cet hôtel 4 étoiles propose des chambres climatisées dotées d’une connexion Wi-Fi gratuite et d’une salle de bains privative. Cet établissement non-fumeurs se trouve à 6 km de la gare de Part-Dieu.

Toutes les chambres comprennent une armoire et une télévision à écran plat. Certaines offrent une vue sur le jardin, tandis que toutes possèdent une bouilloire. Vous disposerez aussi d’un bureau et d’une machine à café.

Un petit-déjeuner continental, végétarien ou sans gluten est servi sur place.

Le personnel de la réception, parlant français, anglais et espagnol, se fera un plaisir de vous fournir des informations pratiques sur la région.

Vous séjournerez à 7,8 km d'Eurexpo et à 8 km du théâtre romain de Fourvière. Enfin, l'aéroport de Lyon-Saint-Exupéry, le plus proche, est à 23 km de l'Hôtel Maison Lacassagne Lyon.",https://www.booking.com/hotel/fr/lacassagne.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKn0-uoBsACAdICJDk5Y2VmNjlkLWZlMGItNDM0ZS05ZWFmLWY3MDBmMTIwN2M1ONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=57d670d309eb01e4&srepoch=1696262568&from_sustainable_property_sr=1&from=searchresults
18,Lyon ,Quadraverde,"7,8",45.75609259,4.78934305,"Le Quadraverde propose des hébergements indépendants à Lyon, à 15 minutes de route de la basilique Notre-Dame de Fourvière et de la place Bellecour. Il vous accueille à 3 km de la gare de Lyon-Perrache, à 3,6 km du musée des Beaux-Arts et à 15 minutes en voiture du musée des Confluences. Une connexion Wi-Fi est disponible gratuitement.

Les logements du Quadraverde disposent d'une cuisine entièrement équipée avec un micro-ondes et un four. Leur salle de bains privative est pourvue d'une baignoire ou douche, d'un sèche-cheveux et d'articles de toilette gratuits. Vous profiterez également d'une vue sur le jardin et d'une bouilloire avec du thé, du café et des capsules de cappuccino.

Pendant votre séjour, vous pourrez vous détendre sur la terrasse et dans les espaces extérieurs.

Le Quadraverde se trouve à 10 km du quartier des affaires de la Part-Dieu et de la gare de Lyon-Part-Dieu. L'aéroport de Lyon-Saint-Exupéry est situé à 23 km, et l'autoroute A6 est accessible en 5 minutes en voiture. Le parking sur place est gratuit.",https://www.booking.com/hotel/fr/residence-raoul-follereau.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKn0-uoBsACAdICJDk5Y2VmNjlkLWZlMGItNDM0ZS05ZWFmLWY3MDBmMTIwN2M1ONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=57d670d309eb01e4&srepoch=1696262568&from_sustainable_property_sr=1&from=searchresults
19,Lyon ,Séjours & Affaires Lyon Saint-Nicolas,"7,3",45.75423705,4.85908985,"Le Séjours & Affaires Lyon Saint-Nicolas se situe dans le centre-ville de Lyon, à 750 mètres de la gare ferroviaire de Lyon-Part-Dieu.

Les studios et appartements possèdent une kitchenette munie d'équipements, d'un réfrigérateur et d'un micro-ondes, une connexion Wi-Fi gratuite, un bureau, une salle de bains privative ainsi qu'une télévision.

L'établissement assure gracieusement une prestation de ménage hebdomadaire et comporte une salle de réunion. Les services hôteliers organisés moyennant un supplément comptent le parking et la blanchisserie.

Vous rejoindrez directement la place Bellecour et le Vieux Lyon depuis la station de métro Garibaldi accessible à 700 mètres.",https://www.booking.com/hotel/fr/sejours-affaires-lyon-saint-nicolas.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEDiAIBqAIDuAKn0-uoBsACAdICJDk5Y2VmNjlkLWZlMGItNDM0ZS05ZWFmLWY3MDBmMTIwN2M1ONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=57d670d309eb01e4&srepoch=1696262568&from=searchresults
